#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.69 aq:8.76 tex:12142 mv:2181 misc:6477 imb:3600 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:25.69 aq:16.99 tex:110808 mv:16116 misc:572 imb:2753 pmb:64 smb:783 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:25.69 aq:11.00 tex:904 mv:588 misc:380 imb:1 pmb:2753 smb:846 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:25.69 aq:11.00 tex:45 mv:6 misc:261 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:5 out:4 type:P dur:2 cpbdur:2 q:25.69 aq:17.06 tex:50389 mv:18512 misc:1971 imb:1007 pmb:928 smb:1665 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:25.69 aq:18.85 tex:20392 mv:19275 misc:1429 imb:386 pmb:1289 smb:1925 d:s ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:21.69 aq:12.86 tex:115296 mv:25636 misc:1236 imb:1077 pmb:1682 smb:841 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:23.97 aq:14.18 tex:126055 mv:26048 misc:1089 imb:1199 pmb:1338 smb:1063 d:s ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:23.94 aq:16.05 tex:40957 mv:24192 misc:2227 imb:400 pmb:1635 smb:1565 d:s ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:23.93 aq:16.82 tex:33801 mv:20849 misc:2262 imb:406 pmb:1326 smb:1868 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:23.96 aq:16.73 tex:19017 mv:14745 misc:2630 imb:136 pmb:1331 smb:2133 d:- ref:0 ;
